numOfRows;numOfFrauds;quants1;quants2
16804;68;-3.878198323661;-1.51242310715814
39902;140;-1.51242310715814;-0.863755006679936
28694;36;-0.863755006679936;-0.395772728931482
28390;13;-0.395772728931482;-0.202300764569304
28485;14;-0.202300764569304;0.0672206886276032
28538;17;0.0672206886276032;0.333621680114328
28535;24;0.333621680114328;0.579668551859726
28074;50;0.579668551859726;0.843202011120342
28902;45;0.843202011120342;1.20612503719917
28482;85;1.20612503719917;3.68750847947228
